Time: 15.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.29, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.41, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.48, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 6.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 4.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.94, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.85, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.31, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 17.46, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 63.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 6.95, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 6.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 63.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.29, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.37, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.87, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.71, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.11, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.02, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.77, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.88, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.34, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.33, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.46, Collision Actor ID: 0, Collision Actor Type: static.sidewalk
Time: 14.36, Collision Actor ID: 0, Collision Actor Type: static.road
Time: 7.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.34, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.63, Collision Actor ID: 0, Collision Actor Type: static.sidewalk
Time: 20.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 19.6, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.68, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.09, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.09, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 13.12, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.74, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.96, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 59.88, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 62.62, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.9, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 50.36, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 61.08, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 65.46, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 67.44, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 68.86, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 54.8, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 54.93, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 62.28, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 9.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 52.75, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.3, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 16.07, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 61.63, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 61.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 61.18, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 59.98, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 62.45, Collision Actor ID: 0, Collision Actor Type: static.terrain
